service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
carts_energy_Anomaly,4,3,0,1823,0.571,1.0,0.727,0.571
carts-db_energy_Anomaly,2,1,0,1827,0.667,1.0,0.8,0.667
catalogue_energy_Anomaly,6,5,0,1819,0.545,1.0,0.706,0.545
catalogue-db_energy_Anomaly,7,6,0,1817,0.538,1.0,0.7,0.538
front-end_energy_Anomaly,29,26,0,1775,0.527,1.0,0.69,0.527
orders_energy_Anomaly,0,0,0,1830,0.0,0.0,0.0,0.0
orders-db_energy_Anomaly,119,108,0,1603,0.524,1.0,0.688,0.524
payment_energy_Anomaly,7,6,0,1817,0.538,1.0,0.7,0.538
queue-master_energy_Anomaly,6,2,0,1822,0.75,1.0,0.857,0.75
rabbitmq_energy_Anomaly,117,96,0,1617,0.549,1.0,0.709,0.549
shipping_energy_Anomaly,24,11,0,1795,0.686,1.0,0.814,0.686
user_energy_Anomaly,6,5,0,1819,0.545,1.0,0.706,0.545
user-db_energy_Anomaly,6,5,0,1819,0.545,1.0,0.706,0.545
