service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
carts_energy_Anomaly,140,133,9,1524,0.513,0.94,0.664,0.496
carts-db_energy_Anomaly,126,119,27,1534,0.514,0.824,0.633,0.463
catalogue_energy_Anomaly,87,81,11,1627,0.518,0.888,0.654,0.486
catalogue-db_energy_Anomaly,108,100,13,1585,0.519,0.893,0.656,0.489
front-end_energy_Anomaly,31,26,0,1749,0.544,1.0,0.705,0.544
orders_energy_Anomaly,39,30,2,1735,0.565,0.951,0.709,0.549
orders-db_energy_Anomaly,129,110,1,1566,0.54,0.992,0.699,0.538
payment_energy_Anomaly,116,110,11,1569,0.513,0.913,0.657,0.489
queue-master_energy_Anomaly,6,3,0,1797,0.667,1.0,0.8,0.667
rabbitmq_energy_Anomaly,72,60,1,1673,0.545,0.986,0.702,0.541
shipping_energy_Anomaly,30,21,3,1752,0.588,0.909,0.714,0.556
user_energy_Anomaly,149,140,25,1492,0.516,0.856,0.644,0.475
user-db_energy_Anomaly,167,154,18,1467,0.52,0.903,0.66,0.493
