service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly,3,0,23,1773,1.0,0.115,0.206,0.987
redis_energy_Anomaly,10,1,30,1758,0.909,0.25,0.392,0.983
ts-account-mongo_energy_Anomaly,9,0,94,1696,1.0,0.087,0.16,0.948
ts-admin-basic-info-service_energy_Anomaly,14,2,118,1665,0.875,0.106,0.189,0.933
ts-admin-order-service_energy_Anomaly,5,0,18,1776,1.0,0.217,0.357,0.99
ts-admin-route-service_energy_Anomaly,11,2,116,1670,0.846,0.087,0.158,0.934
ts-admin-travel-service_energy_Anomaly,14,6,123,1656,0.7,0.102,0.178,0.928
ts-admin-user-service_energy_Anomaly,6,0,17,1776,1.0,0.261,0.414,0.991
ts-assurance-mongo_energy_Anomaly,11,0,12,1776,1.0,0.478,0.647,0.993
ts-assurance-service_energy_Anomaly,10,0,11,1778,1.0,0.476,0.645,0.994
ts-auth-mongo_energy_Anomaly,0,0,0,1799,0.0,0.0,0.0,1.0
ts-auth-service_energy_Anomaly,0,0,0,1799,0.0,0.0,0.0,1.0
ts-avatar-service_energy_Anomaly,9,0,18,1772,1.0,0.333,0.5,0.99
ts-basic-service_energy_Anomaly,5,0,5,1789,1.0,0.5,0.667,0.997
ts-cancel-service_energy_Anomaly,8,4,10,1777,0.667,0.444,0.533,0.992
ts-config-mongo_energy_Anomaly,0,0,0,1799,0.0,0.0,0.0,1.0
ts-config-service_energy_Anomaly,2,0,2,1795,1.0,0.5,0.667,0.999
ts-consign-mongo_energy_Anomaly,8,1,99,1691,0.889,0.075,0.138,0.944
ts-consign-price-mongo_energy_Anomaly,8,1,54,1736,0.889,0.129,0.225,0.969
ts-consign-price-service_energy_Anomaly,11,0,41,1747,1.0,0.212,0.35,0.977
ts-consign-service_energy_Anomaly,14,4,30,1751,0.778,0.318,0.451,0.981
ts-contacts-mongo_energy_Anomaly,0,0,0,1799,0.0,0.0,0.0,1.0
ts-contacts-service_energy_Anomaly,9,0,20,1770,1.0,0.31,0.473,0.989
ts-execute-service_energy_Anomaly,8,3,17,1771,0.727,0.32,0.444,0.989
ts-food-map-mongo_energy_Anomaly,5,3,6,1785,0.625,0.455,0.527,0.995
ts-food-map-service_energy_Anomaly,10,1,22,1766,0.909,0.312,0.465,0.987
ts-food-mongo_energy_Anomaly,9,0,16,1774,1.0,0.36,0.529,0.991
ts-food-service_energy_Anomaly,10,0,21,1768,1.0,0.323,0.488,0.988
ts-inside-payment-mongo_energy_Anomaly,8,1,89,1701,0.889,0.082,0.15,0.95
ts-inside-payment-service_energy_Anomaly,7,1,65,1726,0.875,0.097,0.175,0.963
ts-news-mongo_energy_Anomaly,9,2,81,1707,0.818,0.1,0.178,0.954
ts-news-service_energy_Anomaly,0,0,0,1799,0.0,0.0,0.0,1.0
ts-notification-service_energy_Anomaly,11,2,14,1772,0.846,0.44,0.579,0.991
ts-order-mongo_energy_Anomaly,11,0,11,1777,1.0,0.5,0.667,0.994
ts-order-other-mongo_energy_Anomaly,0,0,0,1799,0.0,0.0,0.0,1.0
ts-order-other-service_energy_Anomaly,1,0,0,1798,1.0,1.0,1.0,1.0
ts-order-service_energy_Anomaly,11,1,7,1780,0.917,0.611,0.733,0.996
ts-payment-mongo_energy_Anomaly,7,1,69,1722,0.875,0.092,0.166,0.961
ts-payment-service_energy_Anomaly,14,6,39,1740,0.7,0.264,0.383,0.975
ts-preserve-other-service_energy_Anomaly,12,7,30,1750,0.632,0.286,0.394,0.979
ts-preserve-service_energy_Anomaly,11,0,19,1769,1.0,0.367,0.537,0.989
ts-price-mongo_energy_Anomaly,4,1,1,1793,0.8,0.8,0.8,0.999
ts-price-service_energy_Anomaly,3,0,11,1785,1.0,0.214,0.353,0.994
ts-rebook-mongo_energy_Anomaly,7,1,79,1712,0.875,0.081,0.148,0.956
ts-rebook-service_energy_Anomaly,14,8,126,1651,0.636,0.1,0.173,0.926
ts-route-mongo_energy_Anomaly,0,0,0,1799,0.0,0.0,0.0,1.0
ts-route-plan-service_energy_Anomaly,9,5,137,1648,0.643,0.062,0.113,0.921
ts-route-service_energy_Anomaly,3,0,5,1791,1.0,0.375,0.545,0.997
ts-seat-service_energy_Anomaly,8,2,13,1776,0.8,0.381,0.516,0.992
ts-security-mongo_energy_Anomaly,3,0,15,1781,1.0,0.167,0.286,0.992
ts-security-service_energy_Anomaly,10,1,20,1768,0.909,0.333,0.487,0.988
ts-station-mongo_energy_Anomaly,0,0,0,1799,0.0,0.0,0.0,1.0
ts-station-service_energy_Anomaly,8,0,6,1785,1.0,0.571,0.727,0.997
ts-ticket-office-mongo_energy_Anomaly,11,2,84,1702,0.846,0.116,0.204,0.952
ts-ticket-office-service_energy_Anomaly,1,0,0,1798,1.0,1.0,1.0,1.0
ts-ticketinfo-service_energy_Anomaly,1,0,3,1795,1.0,0.25,0.4,0.998
