Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10563,0,180.0,203.705981393206,2.1508510690182447,2017.5978739280254,8649.0,34.142975073839686,0.0,180,230,270,300,380,450,560,1000,1900,2000,2000
GET,/catalogue,60132,0,190.0,202.139716041124,3.711916971951723,787.4962000641972,2795.0,194.3657462027954,0.0,190,250,290,310,380,440,520,560,650,740,790
GET,/category.html,60134,0,180.0,198.8422457274748,1.5798110980540514,761.9379400275648,11518.0,194.37221083880294,0.0,180,240,280,310,380,440,520,560,660,760,760
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,6559,0,190.0,203.037729437481,2.1356740035116673,753.654798027128,10364.0,21.200773786738093,0.0,190,250,290,310,380,430,510,560,640,750,750
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,6615,0,190.0,206.4747132376422,2.3188921622931957,742.1735918615013,10364.0,21.381783594949304,0.0,190,260,290,320,390,450,530,570,680,740,740
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,6679,0,190.0,201.71992387162442,2.3461489472538233,749.4828279595822,10364.0,21.58865194719069,0.0,190,250,290,310,380,440,520,570,660,750,750
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,6585,0,190.0,204.23180831316222,2.6288069784641266,754.4730987865478,10364.0,21.284814054836158,0.0,190,250,290,320,380,440,520,560,690,750,750
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,6591,0,190.0,206.40107726033492,2.5929859839379787,755.5242099333555,10364.0,21.304207962858786,0.0,190,260,290,320,390,440,510,560,630,760,760
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,6584,0,190.0,202.91955508089444,2.127403160557151,756.4777240622789,10364.0,21.281581736832386,0.0,190,250,290,310,380,440,520,550,640,760,760
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,6676,0,190.0,205.42182839434278,2.2243240382522345,750.3607489634305,10364.0,21.578954993179373,0.0,190,250,290,320,390,440,530,560,650,750,750
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,6726,0,190.0,203.4169175343836,2.5037850718945265,734.0162829495966,10364.0,21.740570893367956,0.0,190,250,290,310,380,440,520,560,660,730,730
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,6673,0,190.0,204.41295663673623,2.0705729257315397,730.0058309920132,10364.0,21.56925803916806,0.0,190,250,290,320,380,440,510,550,680,730,730
GET,/login,10559,0,200.0,217.4083328382407,24.859012803062797,739.9345859885216,13.0,34.1300458018246,0.0,200,260,290,310,390,450,550,580,670,740,740
,Aggregated,201076,0,190.0,202.65646932698775,1.5798110980540514,2017.5978739280254,7811.948904891683,649.9415749263835,0.0,190,250,290,310,380,440,520,570,720,1700,2000
