Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1720551224,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720551225,100,,Aggregated,0.000000,0.000000,210,220,230,240,250,270,280,280,280,280,280,200,0,210.0,203.66822403506376,120.75643101707101,282.084260834381,4331.0
1720551226,200,,Aggregated,0.000000,0.000000,200,220,230,240,250,270,280,290,320,320,320,476,0,200.0,185.66292700623828,22.94260007329285,323.44898395240307,4782.13025210084
1720551227,300,,Aggregated,0.000000,0.000000,200,230,250,260,320,350,370,380,410,410,410,852,0,200.0,201.80455047419696,22.94260007329285,407.23785595037043,5032.316901408451
1720551228,400,,Aggregated,100.000000,0.000000,170,210,230,250,290,330,360,380,410,410,410,1281,0,170.0,175.20568474027954,22.94260007329285,407.23785595037043,5006.4621389539425
1720551229,500,,Aggregated,158.666667,0.000000,190,230,250,260,320,360,390,400,430,430,430,1645,0,190.0,192.25051533756354,22.94260007329285,429.88712387159467,5151.760486322189
1720551230,600,,Aggregated,213.000000,0.000000,190,230,250,260,320,360,390,410,490,520,520,2242,0,190.0,195.86093098080545,22.94260007329285,523.3958959579468,4929.177966101695
1720551231,700,,Aggregated,256.200000,0.000000,200,240,260,290,330,400,580,710,790,860,860,2560,0,200.0,214.1471380367875,22.94260007329285,864.8305421229452,5000.293359375
1720551233,800,,Aggregated,320.285714,0.000000,220,260,300,330,390,440,630,720,980,1000,1000,3135,1,220.0,239.3930641467129,22.94260007329285,1037.9891679622233,4800.101116427432
1720551234,900,,Aggregated,320.000000,0.000000,240,300,350,380,510,590,660,710,980,1000,1000,3616,2,240.0,271.4543508947698,22.94260007329285,1037.9891679622233,4559.495298672567
1720551235,1000,,Aggregated,347.000000,0.111111,250,310,370,410,530,630,920,1000,1500,1600,1600,4058,3,250.0,296.8558250839683,22.94260007329285,1615.6481900252402,4491.166338097585
1720551236,1000,,Aggregated,359.100000,0.200000,270,350,410,440,570,710,1400,1500,1700,1700,1700,4688,8,270.0,334.16092503238184,22.94260007329285,1726.8011288251728,4472.92683447099
1720551237,1000,,Aggregated,402.600000,0.300000,270,350,410,450,580,670,1300,1400,1700,1700,1700,5306,15,270.0,331.16434633812054,15.297970036044717,1726.8011288251728,4203.32661138334
1720551238,1000,,Aggregated,445.300000,0.800000,280,350,400,430,560,650,1300,1400,1700,1700,1700,5862,28,280.0,329.4395301218155,15.297970036044717,1726.8011288251728,4110.952405322416
1720551239,1000,,Aggregated,481.900000,1.500000,270,330,380,420,540,630,1300,1400,1700,1700,1700,6505,56,270.0,316.650084544082,15.297970036044717,1726.8011288251728,3997.5489623366643
1720551240,1000,,Aggregated,493.000000,2.800000,280,340,390,410,530,620,1300,1400,1700,1700,1700,7027,80,280.0,319.441065799398,15.297970036044717,1726.8011288251728,3885.76220293155
1720551241,1000,,Aggregated,513.200000,5.000000,270,330,370,400,520,610,1000,1400,1700,1700,1700,7629,108,270.0,309.26919263365915,15.297970036044717,1726.8011288251728,3762.798794075239
1720551242,1000,,Aggregated,518.000000,6.900000,280,340,380,410,510,600,1000,1400,1700,1700,1700,8234,140,280.0,313.3535742357779,15.297970036044717,1726.8011288251728,3709.6988098129705
1720551243,1000,,Aggregated,522.100000,9.700000,270,340,370,400,500,600,980,1400,1700,1700,1700,8781,171,270.0,308.24611067435484,15.297970036044717,1726.8011288251728,3679.705956041453
