Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1724270819,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1724270820,5,,Aggregated,0.000000,0.000000,630,630,640,640,640,640,640,640,640,640,640,10,0,22,325.4052294418216,10.563788935542107,637.7757471054792,1313.0
1724270821,10,,Aggregated,0.000000,0.000000,170,210,630,630,640,640,640,640,640,640,640,20,0,50,220.26592190377414,10.563788935542107,637.7757471054792,1313.0
1724270822,15,,Aggregated,5.000000,0.000000,630,770,930,940,940,1400,1400,1400,1400,1400,1400,60,0,220.0,493.26589390014607,10.563788935542107,1401.642537675798,1132.75
1724270823,20,,Aggregated,10.000000,0.000000,63,310,490,530,800,940,1400,1400,1400,1400,1400,180,0,63,265.43812609484627,1.8336093053221703,1401.642537675798,5425.072222222222
1724270824,25,,Aggregated,15.000000,0.000000,39,150,220,320,630,930,940,1400,1400,1400,1400,300,0,39,183.48167500148216,1.4653224498033524,1401.642537675798,5784.86
1724270825,30,,Aggregated,20.750000,0.000000,29,130,160,220,530,800,940,1400,1400,1400,1400,360,0,29,160.26907667983323,1.4653224498033524,1401.642537675798,5859.7444444444445
1724270826,35,,Aggregated,52.000000,0.000000,36,140,190,320,820,1800,2400,2400,2600,2600,2600,455,0,36,272.2087545893513,1.4653224498033524,2576.220476999879,5478.736263736264
1724270827,40,,Aggregated,53.333333,0.000000,39,150,220,410,870,1400,2400,2400,2600,2600,2600,560,0,38,278.8455154397525,1.4653224498033524,2576.220476999879,5151.714285714285
1724270828,45,,Aggregated,54.285714,0.000000,37,130,160,230,810,980,2400,2400,2600,2600,2600,666,0,37,242.29233326563784,1.346866600215435,2576.220476999879,5221.388888888889
1724270829,50,,Aggregated,59.375000,0.000000,38,120,150,180,750,940,2300,2400,2600,2600,2600,827,0,38,208.40191583125485,1.346866600215435,2576.220476999879,5260.09068923821
1724270830,55,,Aggregated,64.444444,0.000000,37,100,140,160,530,940,2200,2400,2600,2600,2600,969,0,37,184.75784634992527,1.346866600215435,2576.220476999879,5237.811145510836
1724270831,60,,Aggregated,69.800000,0.000000,33,79,130,140,340,870,1800,2400,2500,2600,2600,1152,0,32,161.36047117793674,1.346866600215435,2576.220476999879,5246.087673611111
1724270832,65,,Aggregated,86.600000,0.000000,31,64,120,130,240,810,1400,2400,2500,2600,2600,1342,0,31,143.45697500366833,1.346866600215435,2576.220476999879,5258.241430700447
1724270833,70,,Aggregated,99.800000,0.000000,29,58,100,130,190,770,1000,2300,2500,2600,2600,1546,0,29,129.66260086217315,1.346866600215435,2576.220476999879,5290.1701164294955
1724270834,75,,Aggregated,115.100000,0.000000,28,54,84,120,180,640,970,2300,2500,2600,2600,1743,0,28,118.8858105158257,1.346866600215435,2576.220476999879,5299.294893861159
1724270835,80,,Aggregated,130.000000,0.000000,28,52,76,120,160,530,950,2200,2500,2600,2600,1937,0,28,110.82712887456015,1.346866600215435,2576.220476999879,5311.946308724832
1724270836,85,,Aggregated,133.200000,0.000000,28,52,73,110,160,500,940,1900,2500,2600,2600,2160,0,28,103.71691023465246,1.346866600215435,2576.220476999879,5326.282407407408
1724270837,90,,Aggregated,145.800000,0.000000,28,53,71,96,150,330,940,1800,2500,2600,2600,2410,0,28,97.77503458249743,1.346866600215435,2576.220476999879,5349.6265560165975
1724270838,95,,Aggregated,160.700000,0.000000,29,53,73,98,160,240,930,1400,2500,2600,2600,2644,0,29,94.4795593412934,1.346866600215435,2576.220476999879,5390.961422087746
1724270839,100,,Aggregated,173.500000,0.000000,30,54,73,95,150,220,850,1400,2500,2600,2600,2951,0,30,90.62516158279404,1.346866600215435,2576.220476999879,5454.937987123009
1724270840,105,,Aggregated,185.900000,0.000000,30,54,72,94,150,210,810,990,2500,2600,2600,3221,0,30,87.01021348706539,1.346866600215435,2576.220476999879,5509.588947531823
1724270841,110,,Aggregated,200.400000,0.000000,33,55,72,92,150,190,800,960,2500,2600,2600,3565,0,33,84.35742583460218,1.346866600215435,2576.220476999879,5574.358485273492
1724270842,115,,Aggregated,213.100000,0.000000,33,53,70,87,150,180,770,950,2500,2600,2600,3896,0,33,80.59375907090785,1.346866600215435,2576.220476999879,5608.366529774127
1724270843,120,,Aggregated,227.300000,0.000000,32,52,67,83,140,180,750,940,2400,2600,2600,4186,0,32,77.22137779276862,1.346866600215435,2576.220476999879,5625.83994266603
1724270844,125,,Aggregated,243.700000,0.000000,33,53,67,83,140,180,560,940,2400,2600,2600,4518,0,33,75.84319425884497,1.346866600215435,2576.220476999879,5687.433156263834
