Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1723831450,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1723831451,5,,Aggregated,0.000000,0.000000,650,650,650,650,660,660,660,660,660,660,660,10,0,21,333.84142983704805,8.238392882049084,655.3771952167153,1313.0
1723831452,10,,Aggregated,0.000000,0.000000,150,190,650,650,650,660,660,660,660,660,660,20,0,44,216.79109167307615,8.238392882049084,655.3771952167153,1313.0
1723831453,15,,Aggregated,5.000000,0.000000,150,190,650,840,1400,1400,1400,1400,1400,1400,1400,45,0,150.0,374.7939223009679,8.238392882049084,1413.2165787741542,1432.3333333333333
1723831454,20,,Aggregated,7.500000,0.000000,63,360,410,450,860,1000,1400,1400,1400,1400,1400,175,0,63,270.78424745372365,2.60141771286726,1413.2165787741542,5538.588571428571
1723831455,25,,Aggregated,11.666667,0.000000,49,160,230,370,650,990,1000,1400,1400,1400,1400,300,0,48,195.4258629772812,1.490413211286068,1413.2165787741542,5782.8966666666665
1723831456,30,,Aggregated,16.250000,0.000000,41,130,190,250,470,860,1000,1400,1400,1400,1400,360,0,41,170.43300753511073,1.490413211286068,1413.2165787741542,5856.8805555555555
1723831457,35,,Aggregated,37.000000,0.000000,44,150,220,370,870,1800,2400,2500,2600,2600,2600,455,0,44,282.94684664438387,1.490413211286068,2618.0888023227453,5473.925274725275
1723831458,40,,Aggregated,50.833333,0.000000,47,150,250,410,910,1400,2400,2500,2600,2600,2600,560,0,46,290.8641275035084,1.490413211286068,2618.0888023227453,5146.017857142857
1723831459,45,,Aggregated,52.142857,0.000000,43,140,180,280,870,1100,2400,2500,2600,2600,2600,655,0,43,255.81561705339274,1.490413211286068,2618.0888023227453,5214.803053435115
1723831460,50,,Aggregated,57.500000,0.000000,40,120,160,190,760,1000,2300,2500,2600,2600,2600,801,0,40,219.7772699946563,1.490413211286068,2618.0888023227453,5235.831460674157
1723831461,55,,Aggregated,62.777778,0.000000,40,98,140,160,490,1000,2200,2400,2600,2600,2600,979,0,40,189.73104369306253,1.490413211286068,2618.0888023227453,5223.06026557712
1723831462,60,,Aggregated,66.400000,0.000000,37,83,140,150,410,910,1800,2400,2600,2600,2600,1107,0,37,172.44282884097572,1.490413211286068,2618.0888023227453,5212.041553748871
1723831463,65,,Aggregated,81.500000,0.000000,36,72,120,140,270,860,1400,2400,2600,2600,2600,1328,0,36,150.77183818716713,1.490413211286068,2618.0888023227453,5206.603162650603
1723831464,70,,Aggregated,97.600000,0.000000,34,63,110,130,220,790,1200,2300,2600,2600,2600,1506,0,34,137.55184253009844,1.490413211286068,2618.0888023227453,5267.015272244356
1723831465,75,,Aggregated,108.600000,0.000000,31,60,95,130,190,750,1000,2300,2600,2600,2600,1715,0,31,126.02841468587648,1.490413211286068,2618.0888023227453,5311.023323615161
1723831466,80,,Aggregated,127.000000,0.000000,31,59,87,120,170,490,1000,2200,2600,2600,2600,1947,0,31,116.17139530424114,1.490413211286068,2618.0888023227453,5352.516178736518
1723831467,85,,Aggregated,133.200000,0.000000,31,59,86,120,160,410,1000,2000,2500,2600,2600,2190,0,31,109.54528717392179,1.490413211286068,2618.0888023227453,5381.7986301369865
1723831468,90,,Aggregated,142.600000,0.000000,30,58,85,120,160,380,1000,1800,2500,2600,2600,2440,0,30,103.66836894708152,1.490413211286068,2618.0888023227453,5448.233606557377
1723831469,95,,Aggregated,159.400000,0.000000,30,58,85,120,160,270,920,1400,2500,2600,2600,2706,0,30,98.77248931950108,1.490413211286068,2618.0888023227453,5518.573909830007
1723831470,100,,Aggregated,174.100000,0.000000,31,59,88,120,160,290,890,1400,2500,2600,2600,2996,0,31,97.1570510077769,1.490413211286068,2618.0888023227453,5568.934579439252
1723831471,100,,Aggregated,188.600000,0.000000,30,57,82,110,160,250,870,1100,2500,2600,2600,3250,0,30,92.20451105557956,1.490413211286068,2618.0888023227453,5573.554769230769
1723831472,100,,Aggregated,204.500000,0.000000,30,55,78,100,160,230,830,1000,2500,2600,2600,3448,0,30,88.57150160380166,1.490413211286068,2618.0888023227453,5544.503480278422
1723831473,100,,Aggregated,218.300000,0.000000,29,51,73,96,150,220,800,1000,2500,2600,2600,3721,0,29,84.2682669450822,1.490413211286068,2618.0888023227453,5556.612469766192
1723831474,100,,Aggregated,227.000000,0.000000,28,49,70,92,150,210,760,1000,2500,2600,2600,3970,0,28,80.822880682946,1.490413211286068,2618.0888023227453,5602.551385390429
1723831475,100,,Aggregated,233.800000,0.000000,27,48,67,87,150,200,760,1000,2500,2600,2600,4160,0,27,78.3953429770638,1.490413211286068,2618.0888023227453,5580.11875
1723831476,100,,Aggregated,239.200000,0.000000,29,48,66,84,140,190,720,1000,2500,2600,2600,4405,0,29,76.29903933555565,1.490413211286068,2618.0888023227453,5549.942338251986
1723831477,100,,Aggregated,245.900000,0.000000,28,47,65,83,140,190,650,1000,2500,2600,2600,4689,0,28,74.35308723782178,1.490413211286068,2618.0888023227453,5621.946896992962
1723831479,100,,Aggregated,243.200000,0.000000,27,47,64,82,140,180,490,1000,2500,2600,2600,4951,0,27,72.79065645850444,1.490413211286068,2618.0888023227453,5682.349626338114
1723831480,100,,Aggregated,248.800000,0.000000,27,47,65,83,140,180,470,990,2500,2600,2600,5231,0,27,71.72522979660828,1.490413211286068,2618.0888023227453,5683.698910342191
1723831481,100,,Aggregated,250.000000,0.000000,27,46,64,82,140,180,450,920,2500,2600,2600,5474,0,27,70.25489746992757,1.490413211286068,2618.0888023227453,5710.4503105590065
1723831482,100,,Aggregated,252.100000,0.000000,26,45,62,80,140,170,420,890,2500,2600,2600,5763,0,26,68.22562475922919,1.490413211286068,2618.0888023227453,5751.746659725837
1723831483,100,,Aggregated,246.900000,0.000000,25,44,61,78,140,170,410,890,2500,2600,2600,5924,0,25,66.99634795369559,1.4791907742619514,2618.0888023227453,5841.073936529372
1723831484,100,,Aggregated,249.800000,0.000000,24,43,60,78,140,170,410,890,2500,2600,2600,6066,0,24,65.89593750830313,1.4791907742619514,2618.0888023227453,5942.209033959776
1723831485,100,,Aggregated,246.300000,0.000000,24,43,61,78,140,170,450,1000,2600,2800,2800,6144,0,24,71.23989318931005,1.4791907742619514,2835.2434933185577,5943.687825520833
1723831486,100,,Aggregated,246.300000,0.000000,25,45,63,83,140,210,1000,2200,2800,3100,3100,6314,0,25,96.82648514946442,1.4791907742619514,3057.4679020792246,5784.816281279696
1723831487,100,,Aggregated,215.900000,0.000000,25,45,62,82,140,200,1000,2200,2800,3100,3100,6501,0,25,94.94671482266764,1.4791907742619514,3057.4679020792246,5793.411475157668
1723831488,100,,Aggregated,215.100000,0.000000,25,44,60,79,140,190,1000,2200,2800,3100,3100,6832,0,25,92.01426948903269,1.4791907742619514,3057.4679020792246,5837.885977751756
1723831489,100,,Aggregated,208.700000,0.000000,25,42,59,77,140,190,1000,2100,2800,3100,3100,7031,0,25,90.05191555063122,1.4791907742619514,3057.4679020792246,5857.0224719101125
1723831490,100,,Aggregated,213.200000,0.000000,24,41,58,76,140,180,970,2100,2800,3100,3100,7309,0,24,87.8740608794616,1.4791907742619514,3057.4679020792246,5893.714051169791
1723831491,100,,Aggregated,206.700000,0.000000,24,41,57,74,140,180,910,2100,2800,3100,3100,7568,0,24,85.86057126236564,1.4791907742619514,3057.4679020792246,5929.411072938689
1723831492,100,,Aggregated,206.300000,0.000000,24,40,56,73,130,170,890,2000,2800,3100,3100,7828,0,24,83.9969503571216,1.4791907742619514,3057.4679020792246,5940.018012263669
1723831493,100,,Aggregated,207.700000,0.000000,24,40,55,71,130,170,870,2000,2800,3100,3100,8096,0,24,82.2692711169467,1.4791907742619514,3057.4679020792246,5967.846343873518
1723831494,100,,Aggregated,204.600000,0.000000,24,40,55,71,130,170,800,2000,2800,3100,3100,8306,0,24,81.373324212182,1.4791907742619514,3057.4679020792246,5972.201902239345
1723831495,100,,Aggregated,215.900000,0.000000,24,40,56,72,130,170,800,1900,2800,3100,3100,8550,0,24,80.42700658819219,1.4791907742619514,3057.4679020792246,5974.6457309941525
1723831496,100,,Aggregated,223.300000,0.000000,24,40,55,71,130,170,770,1900,2800,3100,3100,8808,0,24,79.01876462045313,1.4791907742619514,3057.4679020792246,6000.4063351498635
1723831497,100,,Aggregated,239.800000,0.000000,23,39,54,69,130,170,760,1900,2800,3100,3100,9025,0,23,77.65341211708876,1.4791907742619514,3057.4679020792246,6009.301495844876
1723831498,100,,Aggregated,246.000000,0.000000,23,38,53,68,130,170,750,1800,2800,3100,3100,9280,0,23,76.2268407615544,1.4791907742619514,3057.4679020792246,6046.84385775862
1723831499,100,,Aggregated,250.900000,0.000000,23,37,52,67,130,160,650,1800,2800,3100,3100,9581,0,23,74.67810843391065,1.4791907742619514,3057.4679020792246,6092.832480951884
1723831500,100,,Aggregated,243.400000,0.000000,23,37,51,66,130,160,490,1800,2800,3100,3100,9897,0,23,73.3724110748973,1.4791907742619514,3057.4679020792246,6142.207335556229
1723831501,100,,Aggregated,253.600000,0.000000,22,37,51,65,130,160,470,1700,2700,3000,3100,10172,0,22,72.1638163307596,1.4791907742619514,3057.4679020792246,6174.171451042076
1723831502,100,,Aggregated,258.300000,0.000000,22,36,50,63,130,160,450,1500,2700,3000,3100,10453,0,22,70.86671564259731,1.4791907742619514,3057.4679020792246,6178.076724385344
1723831503,100,,Aggregated,256.300000,0.000000,22,35,49,62,130,160,420,1500,2700,3000,3100,10721,0,22,69.79712388336536,1.4791907742619514,3057.4679020792246,6218.163324316762
1723831504,100,,Aggregated,259.200000,0.000000,22,35,48,61,130,160,410,1400,2700,3000,3100,10956,0,22,68.82237342270258,1.4791907742619514,3057.4679020792246,6214.798375319459
1723831505,100,,Aggregated,257.400000,0.000000,22,34,47,60,130,160,390,1400,2700,3000,3100,11201,0,22,67.83280192695857,1.4791907742619514,3057.4679020792246,6225.186858316221
1723831506,100,,Aggregated,261.900000,0.000000,22,34,47,60,120,150,380,1400,2700,3000,3100,11462,0,22,66.95926450748699,1.4791907742619514,3057.4679020792246,6248.477141860059
1723831507,100,,Aggregated,264.100000,0.000000,22,34,46,59,120,150,370,1300,2700,3000,3100,11728,0,22,66.04141968627692,1.4791907742619514,3057.4679020792246,6264.910641200546
1723831508,100,,Aggregated,264.900000,0.000000,21,33,45,58,120,150,360,1200,2700,3000,3100,11998,0,21,65.18871315634945,1.4791907742619514,3057.4679020792246,6295.162610435073
1723831509,100,,Aggregated,269.600000,0.000000,21,33,45,58,120,150,350,1200,2700,3000,3100,12270,0,21,64.33057655461175,1.4791907742619514,3057.4679020792246,6334.377832110839
1723831510,100,,Aggregated,270.800000,0.000000,21,33,44,57,120,150,320,1100,2700,3000,3100,12494,0,21,63.54563847710147,1.4693448320031166,3057.4679020792246,6322.990475428205
1723831511,100,,Aggregated,262.900000,0.000000,21,32,44,56,120,150,310,1000,2700,3000,3100,12756,0,21,62.731018078777154,1.4693448320031166,3057.4679020792246,6330.499843211038
1723831512,100,,Aggregated,258.300000,0.000000,21,32,43,55,120,150,290,1000,2700,3000,3100,13021,0,21,61.983238483529725,1.4693448320031166,3057.4679020792246,6352.621380846325
1723831513,100,,Aggregated,257.300000,0.000000,21,32,43,54,120,150,280,1000,2700,3000,3100,13290,0,21,61.19983026427073,1.4693448320031166,3057.4679020792246,6375.250338600452
1723831514,100,,Aggregated,255.900000,0.000000,21,31,42,53,120,150,270,1000,2700,3000,3100,13543,0,21,60.55030972054343,1.4693448320031166,3057.4679020792246,6411.863914937606
