Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin_user.html,985,0,550.0,756.683718328019,1.6944771632552147,3086.544180288911,27664.0,3.1866162306882986,0.0,550,850,1200,1400,2000,2400,2500,2700,3100,3100,3100
GET,/adminlogin.html,3725,2,2200.0,3094.29146912949,2.5503691285848618,15434.918580576777,2283.773154362416,12.050909095750164,0.0064702867628188806,2200,2700,3800,4000,8000,12000,14000,15000,15000,15000,15000
GET,/api/v1/adminorderservice/adminorder,3659,0,1600.0,1528.1919288960848,14.682337641716003,3936.533701606095,1671.0,11.837389632577143,0.0,1600,2200,2400,2400,2600,2700,2800,2900,3100,3900,3900
GET,/api/v1/adminuserservice/users,4611,0,1400.0,1373.6181993771047,12.810762971639633,4067.868801765144,110050.14964216005,14.91724613167893,0.0,1400,2000,2300,2400,2500,2600,2800,2900,3100,4100,4100
POST,/api/v1/adminuserservice/users,987,0,740.0,948.8802344822292,134.6094273030758,3139.8779936134815,208.83991894630194,3.1930865174511176,0.0,740,1000,1300,1500,2100,2500,2700,2900,3100,3100,3100
POST,/api/v1/travel2service/trips/left,11908,0,1900.0,1774.7445083638577,77.50231493264437,4870.440333150327,178.30030231776956,38.52408738582361,0.0,1900,2400,2500,2500,2700,2800,3000,3100,3500,4400,4900
POST,/api/v1/travelservice/trips/left,18497,0,2000.0,1812.6701555908292,94.02963612228632,8984.652264043689,211.3840082175488,59.84044712593042,0.0,2000,2400,2500,2500,2700,2900,3000,3200,6200,8900,9000
POST,/api/v1/users/login,7224,0,1800.0,1689.2605603419622,112.84946277737617,4020.232425071299,339.04651162790697,23.370675787301796,0.0,1800,2400,2500,2600,2700,2800,3000,3100,3600,4000,4000
GET,/api/v1/verifycode/generate,22246,0,1800.0,1619.374479580075,4.960639402270317,4219.721329398453,1249.2811741436662,71.9689996628344,0.0,1800,2300,2400,2400,2600,2700,2800,3000,3900,4200,4200
GET,/client_login.html,3598,0,1600.0,1541.2793123086146,1.8919529393315315,3703.2632008194923,12241.0,11.640045886311166,0.0,1600,2300,2400,2400,2600,2700,2800,3000,3200,3700,3700
GET,/index.html,18824,41,1800.0,1663.5907828428653,1.7276480793952942,4320.679346099496,18088.515937101572,60.8983390116513,0.13264087863778706,1800,2300,2400,2500,2600,2900,3800,4000,4300,4300,4300
,Aggregated,96264,43,1800.0,1712.8409172461425,1.6944771632552147,15434.918580576777,10079.915046123162,311.42784246799835,0.13911116540060592,1800,2300,2400,2500,2700,2800,3500,4000,14000,15000,15000
