Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1723233884,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1723233885,5,,Aggregated,0.000000,0.000000,600,610,610,610,610,610,610,610,610,610,610,10,0,22,311.09934565611184,7.56719009950757,610.7793739065528,1313.0
1723233886,10,,Aggregated,0.000000,0.000000,600,610,700,700,1300,1300,1300,1300,1300,1300,1300,30,0,180.0,464.3528169331451,7.56719009950757,1289.0587830916047,1432.3333333333333
1723233887,15,,Aggregated,5.000000,0.000000,570,630,960,970,980,1300,1300,1300,1300,1300,1300,60,0,220.0,466.50026334294427,7.56719009950757,1289.0587830916047,1132.75
1723233888,20,,Aggregated,10.000000,0.000000,66,300,350,520,680,980,1300,1300,1300,1300,1300,186,0,66,253.72537024199002,1.9933050498366356,1289.0587830916047,5507.322580645161
1723233889,25,,Aggregated,15.000000,0.000000,46,150,210,310,570,960,980,1300,1300,1300,1300,300,0,46,182.68586606408158,1.7517190426588058,1289.0587830916047,5821.606666666667
1723233890,30,,Aggregated,35.000000,0.000000,43,130,180,220,530,700,980,1300,1300,1300,1300,360,0,42,160.1737152914413,1.7517190426588058,1289.0587830916047,5887.4
1723233891,35,,Aggregated,52.000000,0.000000,44,150,200,310,700,2000,2500,2500,2500,2500,2500,452,0,44,277.57303354400415,1.7517190426588058,2537.450733128935,5459.342920353983
1723233892,40,,Aggregated,54.000000,0.000000,46,150,220,350,960,1300,2400,2500,2500,2500,2500,557,0,46,289.827600766903,1.7517190426588058,2537.450733128935,5129.956912028725
1723233893,45,,Aggregated,55.142857,0.000000,43,130,170,240,940,980,2400,2500,2500,2500,2500,661,0,43,251.1184736452264,1.6606119461357594,2537.450733128935,5217.201210287443
1723233894,50,,Aggregated,59.875000,0.000000,40,100,150,180,680,980,2400,2500,2500,2500,2500,825,0,40,211.0499087388091,1.6606119461357594,2537.450733128935,5236.4084848484845
1723233895,55,,Aggregated,65.555556,0.000000,39,80,130,150,550,970,2400,2500,2500,2500,2500,970,0,38,185.62137350900886,1.6606119461357594,2537.450733128935,5220.406185567011
1723233896,60,,Aggregated,70.800000,0.000000,35,68,120,140,350,950,2000,2400,2500,2500,2500,1121,0,35,165.6066675173629,1.6606119461357594,2537.450733128935,5274.623550401428
1723233897,65,,Aggregated,86.000000,0.000000,33,64,100,130,250,940,1300,2400,2500,2500,2500,1313,0,33,147.93440391347153,1.6606119461357594,2537.450733128935,5261.199543031226
1723233898,70,,Aggregated,100.300000,0.000000,32,59,89,130,200,900,1000,2400,2500,2500,2500,1510,0,32,133.90804192711235,1.6606119461357594,2537.450733128935,5333.60463576159
1723233899,75,,Aggregated,114.000000,0.000000,31,54,78,120,180,620,980,2400,2500,2500,2500,1725,0,31,121.69932158177961,1.6606119461357594,2537.450733128935,5333.810434782608
1723233900,80,,Aggregated,123.900000,0.000000,30,51,71,100,160,530,980,2400,2500,2500,2500,1962,0,30,110.97486516903179,1.6543702222406864,2537.450733128935,5374.821100917431
1723233901,85,,Aggregated,133.100000,0.000000,30,49,66,89,150,350,980,2000,2500,2500,2500,2236,0,30,102.06303380518045,1.5403088182210922,2537.450733128935,5439.148032200358
1723233902,90,,Aggregated,147.200000,0.000000,29,48,64,84,150,310,970,1900,2500,2500,2500,2478,0,29,96.0021615458714,1.5403088182210922,2537.450733128935,5489.239709443099
1723233903,95,,Aggregated,166.400000,0.000000,29,49,65,82,150,230,960,1300,2500,2500,2500,2778,0,29,91.08195752136763,1.5403088182210922,2537.450733128935,5532.750179985601
1723233904,100,,Aggregated,184.800000,0.000000,29,48,63,80,140,200,940,1000,2500,2500,2500,3060,0,29,86.30902784225208,1.5254197642207146,2537.450733128935,5617.178431372549
1723233905,100,,Aggregated,198.000000,0.000000,28,46,60,76,140,190,940,980,2500,2500,2500,3341,0,28,81.65331937908452,1.5254197642207146,2537.450733128935,5634.630050882969
1723233906,100,,Aggregated,217.000000,0.000000,27,45,57,71,140,180,920,980,2500,2500,2500,3566,0,27,78.06921750816359,1.5254197642207146,2537.450733128935,5616.839876612451
1723233907,100,,Aggregated,226.500000,0.000000,27,44,55,68,140,170,900,980,2500,2500,2500,3756,0,27,75.45858727449688,1.5254197642207146,2537.450733128935,5600.057774227902
1723233908,100,,Aggregated,239.600000,0.000000,26,43,54,65,130,170,680,980,2500,2500,2500,4041,0,26,72.50874102082443,1.5254197642207146,2537.450733128935,5642.878495421925
1723233909,100,,Aggregated,243.900000,0.000000,26,41,52,63,130,160,630,980,2500,2500,2500,4291,0,26,69.97376433609475,1.5254197642207146,2537.450733128935,5654.595898391984
1723233910,100,,Aggregated,245.100000,0.000000,26,41,52,63,130,160,610,980,2500,2500,2500,4498,0,26,68.55000181723238,1.5254197642207146,2537.450733128935,5656.445975989329
