Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin_user.html,990,0,480.0,684.6611027935087,1.9931490533053875,2735.67424621433,27664.0,3.2008152476925265,0.0,480,780,1100,1200,1900,2300,2400,2500,2700,2700,2700
GET,/adminlogin.html,3910,6,2100.0,2836.4384532253475,3.0734948813915253,14427.690669428557,2281.493606138107,12.64160365502806,0.019398880289045614,2100,2400,3600,3700,7200,11000,13000,14000,14000,14000,14000
GET,/api/v1/adminorderservice/adminorder,3854,0,1500.0,1439.075232811971,16.386244911700487,2906.97970893234,1671.0,12.460547438996967,0.0,1500,2100,2300,2300,2400,2500,2600,2700,2900,2900,2900
GET,/api/v1/adminuserservice/users,4820,0,1200.0,1297.6093859290047,12.632437981665134,3821.1702471598983,112143.90248962656,15.583767165533311,0.0,1200,1900,2200,2300,2400,2500,2700,2700,3200,3800,3800
POST,/api/v1/adminuserservice/users,990,0,620.0,849.7011584342655,131.91922334954143,2982.8407587483525,209.5090909090909,3.2008152476925265,0.0,620,970,1200,1300,2000,2400,2500,2600,3000,3000,3000
POST,/api/v1/travel2service/trips/left,12750,0,1700.0,1641.5715730542718,66.44814694300294,3976.776581723243,178.4476862745098,41.22262061422193,0.0,1700,2300,2400,2400,2500,2600,2800,2900,3500,3800,4000
POST,/api/v1/travelservice/trips/left,19725,0,1800.0,1655.8294505510994,67.59865442290902,7303.551478777081,208.542154626109,63.77381895023746,0.0,1800,2300,2400,2400,2500,2700,2800,2900,4100,7200,7300
POST,/api/v1/users/login,7607,0,1600.0,1586.7951095575695,115.20614707842469,3802.862216718495,339.00328644669383,24.594547059794998,0.0,1600,2300,2400,2400,2600,2700,2800,2900,3700,3800,3800
GET,/api/v1/verifycode/generate,23664,0,1600.0,1513.3282655793091,4.925326909869909,3809.020441956818,1249.8196416497633,76.5091838599959,0.0,1600,2200,2300,2300,2400,2500,2700,2700,3700,3800,3800
GET,/client_login.html,3788,0,1500.0,1448.0964334702774,1.7423327080905437,3695.09045034647,12241.0,12.247159755817465,0.0,1500,2100,2300,2300,2400,2500,2700,2700,3300,3700,3700
GET,/index.html,20072,44,1600.0,1557.5792203519663,2.0296568982303143,3946.815091650933,18088.261458748504,64.89572086028727,0.14225845545300117,1600,2200,2300,2300,2400,2700,3700,3800,3900,3900,3900
,Aggregated,102170,50,1600.0,1591.785353065384,1.7423327080905437,14427.690669428557,10095.61301751982,330.33059985529843,0.1616573357420468,1600,2200,2300,2400,2500,2700,3300,3800,13000,14000,14000
