Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin_user.html,686,18,11,41.559300728891664,1.5071146190166473,1163.6839248239994,26938.122448979593,2.219241459652904,0.05823082547194209,11,20,33,42,69,140,520,720,1200,1200,1200
GET,/adminlogin.html,6560,4619,180.0,348.7959940097204,1.2669814750552177,1473.4303075820208,676.095274390244,21.221900838663338,14.942676825272251,180,490,580,650,910,1100,1200,1300,1400,1500,1500
GET,/api/v1/adminorderservice/adminorder,1625,584,130.0,7562.947342570012,1.3568485155701637,60591.437159106135,63910.60307692308,5.25694952177255,1.8892667819785656,130,250,1300,4800,60000,60000,60000,60000,61000,61000,61000
GET,/api/v1/adminuserservice/users,2310,543,46,160.01395802436903,1.4783777296543121,1407.711336389184,46117.77662337662,7.472955935565902,1.7566299017369198,47,74,120,170,540,830,1100,1200,1400,1400,1400
POST,/api/v1/adminuserservice/users,686,25,220.0,295.45992004628084,4.59236279129982,1769.9151579290628,203.31049562682216,2.219241459652904,0.08087614648880846,220,270,320,360,540,740,1000,1400,1800,1800,1800
GET,/api/v1/assuranceservice/assurances/types,5985,4753,390.0,405.96788141926254,1.2500965967774391,1471.0113629698753,29.21921470342523,19.361749469420744,15.376172970452265,390,550,650,730,970,1100,1200,1300,1500,1500,1500
POST,/api/v1/contactservice/contacts,631,26,19,29.0836575536999,3.796091303229332,202.63720117509365,211.63232963549922,2.0413139373775255,0.0841111923483608,19,28,35,42,59,79,130,150,200,200,200
GET,/api/v1/contactservice/contacts/account/,1676,1676,470.0,467.68677963648514,1.2426367029547691,1482.6669953763485,17.286396181384248,5.421936860609719,5.421936860609719,470,590,700,780,1000,1200,1300,1300,1500,1500,1500
GET,/api/v1/contactservice/contacts/account/0013a514-e279-4454-b512-c9e3f5f5ba1e,1,0,129.33697644621134,129.33697644621134,129.33697644621134,129.33697644621134,38.0,0.0032350458595523384,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/api/v1/contactservice/contacts/account/0078bffe-dfd7-48fb-9a79-e710ebf74908,1,0,17.616894096136093,17.616894096136093,17.616894096136093,17.616894096136093,38.0,0.0032350458595523384,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/v1/contactservice/contacts/account/00c17842-412a-46a0-b8d4-e0c30efcd5b1,8,7,460.0,486.39273282606155,78.97372916340828,853.2521221786737,4.75,0.025880366876418707,0.02264532101686637,490,770,800,800,850,850,850,850,850,850,850
GET,/api/v1/contactservice/contacts/account/00cd9c06-cde3-467d-947f-83682105b87f,7,5,300.0,267.0260438961642,6.297343410551548,602.756891399622,35.0,0.02264532101686637,0.016175229297761693,300,390,470,470,600,600,600,600,600,600,600
GET,/api/v1/contactservice/contacts/account/0140a81f-2411-4798-a84e-cc72c461879c,2,0,17,24.96228227391839,16.820267774164677,33.104296773672104,122.5,0.006470091719104677,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/api/v1/contactservice/contacts/account/0278deb5-33f2-4b18-acf7-09e05a82e3a3,1,0,10.891810059547424,10.891810059547424,10.891810059547424,10.891810059547424,38.0,0.0032350458595523384,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/v1/contactservice/contacts/account/02d5cdd5-5f94-4394-bc08-8a1d2b66b5b3,6,4,480.0,539.187539058427,68.67114454507828,1003.1971214339137,40.833333333333336,0.01941027515731403,0.012940183438209353,600,600,610,610,1000,1000,1000,1000,1000,1000,1000
GET,/api/v1/contactservice/contacts/account/031e64b2-d296-4b06-8144-c05451eda496,5,4,16,212.48404160141945,3.8512730970978737,555.164915509522,7.6,0.016175229297761693,0.012940183438209353,16,480,480,560,560,560,560,560,560,560,560
