Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin_user.html,750,0,6,8.418138463050127,1.5945285558700562,81.13481104373932,27664.0,2.4328962404263974,0.0,6,8,10,12,18,24,34,38,81,81,81
GET,/adminlogin.html,1426,0,7,10.26886461373173,1.5632249414920807,143.11116188764572,2285.0,4.625746718464057,0.0,7,10,13,16,22,27,35,42,140,140,140
GET,/api/v1/adminorderservice/adminorder,1402,80,51,3240.176507429925,15.648582018911839,60030.089028179646,212561.75249643368,4.547894038770412,0.25950893231214905,51,81,130,200,580,36000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,2152,0,21,32.56562916946262,10.469987988471985,996.7835126444697,70869.3875464684,6.9807902791968095,0.0,21,25,28,32,45,60,95,150,990,1000,1000
POST,/api/v1/adminuserservice/users,750,0,160.0,181.74238024527827,113.06993011385202,701.13873668015,211.0,2.4328962404263974,0.0,160,170,190,200,260,350,460,540,700,700,700
GET,/api/v1/assuranceservice/assurances/types,1354,0,9,14.362073447720382,3.499857150018215,437.53383681178093,108.0,4.392188679383123,0.0,9,12,15,17,24,33,49,82,430,440,440
POST,/api/v1/contactservice/contacts,741,0,12,15.06665866449978,3.836359828710556,93.63914467394352,221.0,2.403701485541281,0.0,12,15,17,19,26,35,55,66,94,94,94
GET,/api/v1/contactservice/contacts/account/00508ccd-0e75-4de1-bebe-827201c02848,1,0,6.852768361568451,6.852768361568451,6.852768361568451,6.852768361568451,38.0,0.003243861653901863,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/v1/contactservice/contacts/account/00728ed9-1f8b-48fe-b6ce-04b77a43f864,1,0,7.320782169699669,7.320782169699669,7.320782169699669,7.320782169699669,38.0,0.003243861653901863,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/v1/contactservice/contacts/account/009d1a9b-e72e-4e94-90bb-73be57fed296,2,0,6.065213121473789,8.044648449867964,6.065213121473789,10.024083778262138,122.5,0.006487723307803726,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v1/contactservice/contacts/account/00abe3cf-f1fb-40c1-8cd6-86c355d479a5,1,0,27.97624096274376,27.97624096274376,27.97624096274376,27.97624096274376,38.0,0.003243861653901863,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/v1/contactservice/contacts/account/00de16b3-d2fb-457d-a51d-85d155910407,4,0,6,8.424870437011123,5.906049162149429,14.788947068154812,164.75,0.012975446615607452,0.0,7,7,15,15,15,15,15,15,15,15,15
