Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1723824717,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1723824718,5,,Aggregated,0.000000,0.000000,600,610,610,610,610,610,610,610,610,610,610,10,0,20,311.0478824004531,7.534774020314217,609.0518813580275,1313.0
1723824719,10,,Aggregated,0.000000,0.000000,600,610,620,630,1200,1200,1200,1200,1200,1200,1200,30,0,180.0,437.5362852277855,7.534774020314217,1199.7536132112145,1432.3333333333333
1723824720,15,,Aggregated,5.000000,0.000000,470,610,910,920,920,1200,1200,1200,1200,1200,1200,60,0,190.0,432.0359872964521,7.534774020314217,1199.7536132112145,1132.75
1723824721,20,,Aggregated,8.000000,0.000000,45,190,350,410,600,920,1200,1200,1200,1200,1200,238,0,44,206.13501292160328,1.6299458220601082,1199.7536132112145,5784.100840336135
1723824722,25,,Aggregated,12.000000,0.000000,40,160,200,350,520,910,920,1200,1200,1200,1200,300,0,40,172.93120473933718,1.6299458220601082,1199.7536132112145,5813.836666666667
1723824723,30,,Aggregated,27.000000,0.000000,36,130,170,210,500,620,920,1200,1200,1200,1200,360,0,36,151.92321629729122,1.6299458220601082,1199.7536132112145,5881.219444444445
1723824724,35,,Aggregated,49.800000,0.000000,37,150,180,250,630,2100,2700,2700,2800,2800,2800,452,0,37,281.6431176914644,1.6299458220601082,2837.2962353751063,5456.316371681416
1723824725,40,,Aggregated,51.500000,0.000000,41,150,210,420,940,1200,2600,2700,2800,2800,2800,557,0,41,295.7776142886206,1.6299458220601082,2837.2962353751063,5128.301615798923
1723824726,45,,Aggregated,53.000000,0.000000,38,140,170,250,920,1100,2600,2700,2800,2800,2800,634,0,38,265.3793354771373,1.6299458220601082,2837.2962353751063,5544.56309148265
1723824727,50,,Aggregated,57.625000,0.000000,35,130,160,200,870,1100,2600,2700,2800,2800,2800,718,0,35,239.72270697806664,1.5612440183758736,2837.2962353751063,6502.020891364902
1723824728,55,,Aggregated,62.666667,0.000000,33,120,150,170,610,1000,2600,2700,2800,2800,2800,841,0,33,213.2792866109969,1.5612440183758736,2837.2962353751063,6715.963139120096
