Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),4772
GET,/api/v1/contactservice/contacts/account/ddf741bf-91a2-4b08-a84a-6e49a963af60,RemoteDisconnected('Remote end closed connection without response'),10
GET,/api/v1/contactservice/contacts/account/4c1b3973-1e5f-4d2a-a41f-727b4fcaa79c,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/v1/contactservice/contacts/account/5eecc8ef-2177-4461-9029-538f1f9d2184,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/6cd0984e-17c4-41b7-8792-8c5d2b69b502,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/edc17bad-e4ee-41d6-b135-c1d3574c9a0c,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/dd4cd8fe-8fb5-4f15-996d-08c2d46e2c13,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/84ba068c-e2cc-4b77-b90d-ff156d653d69,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/68dd1f48-6379-4490-8415-a42c465d80a6,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/contactservice/contacts/account/42567a53-693f-4310-b559-401ae9422b06,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/5f9222a2-0b0a-4dea-8b93-225c1d8f7f5d,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/3c603939-8a2c-4d6f-9eb0-dfb48e4bfc1d,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/5b039129-7b3e-419c-b1f9-b30e7bb9e509,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/contactservice/contacts/account/d5ab1731-dabf-4589-adfe-a9415dcf2a9d,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/a179a3c7-01f5-4adb-9698-60e70ecb734c,RemoteDisconnected('Remote end closed connection without response'),24
GET,/api/v1/contactservice/contacts/account/75e84ab8-cf43-41b2-bb00-562f4b8d44de,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/56145859-6fd8-4fea-b422-c51df2acb707,RemoteDisconnected('Remote end closed connection without response'),1
GET,/admin_user.html,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/42059935-4b9e-4520-9b85-c231a96d0e9f,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/2d0f6ec4-3633-4a37-855e-3864b88b6ed2,RemoteDisconnected('Remote end closed connection without response'),3
