Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1723219207,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1723219208,5,,Aggregated,0.000000,0.000000,550,560,560,560,560,560,560,560,560,560,560,10,0,22,286.02744680829346,8.147701621055603,559.3923470005393,1313.0
1723219209,10,,Aggregated,0.000000,0.000000,550,560,670,690,1300,1300,1300,1300,1300,1300,1300,30,0,170.0,443.15147440259653,8.147701621055603,1268.5036789625883,1432.3333333333333
1723219210,15,,Aggregated,5.000000,0.000000,530,580,960,970,980,1300,1300,1300,1300,1300,1300,60,0,190.0,449.9394024722278,8.147701621055603,1268.5036789625883,1132.75
1723219211,20,,Aggregated,10.000000,0.000000,69,200,340,470,560,970,1300,1300,1300,1300,1300,222,0,69,223.44289248104434,1.7622248269617558,1268.5036789625883,5813.977477477478
1723219212,25,,Aggregated,15.000000,0.000000,55,150,200,320,540,960,980,1300,1300,1300,1300,300,0,55,177.84887278452516,1.5939841978251934,1268.5036789625883,5818.806666666666
1723219213,30,,Aggregated,40.000000,0.000000,45,130,170,210,500,670,980,1300,1300,1300,1300,357,0,45,156.54577119719414,1.5939841978251934,1268.5036789625883,5841.747899159664
1723219214,35,,Aggregated,57.200000,0.000000,48,140,200,320,960,2200,2700,2800,2900,2900,2900,449,0,48,295.38089303270743,1.5939841978251934,2857.47037967667,5420.062360801781
1723219215,40,,Aggregated,59.333333,0.000000,54,150,220,380,970,1300,2700,2800,2900,2900,2900,554,0,53,307.5746933623664,1.5939841978251934,2857.47037967667,5094.749097472924
1723219216,45,,Aggregated,57.428571,0.000000,47,140,180,320,960,1300,2700,2700,2900,2900,2900,625,0,47,278.11860753521324,1.4496911317110062,2857.47037967667,5208.2048
1723219217,50,,Aggregated,62.125000,0.000000,35,130,160,210,940,1000,2700,2700,2900,2900,2900,718,0,34,247.01427030805135,1.4300798065960407,2857.47037967667,6294.838440111421
1723219218,55,,Aggregated,68.111111,0.000000,32,120,150,170,670,1000,2700,2700,2900,2900,2900,827,0,32,220.307948443917,1.4300798065960407,2857.47037967667,6916.373639661427
1723219219,60,,Aggregated,68.600000,0.000000,29,94,140,160,550,980,2700,2700,2900,2900,2900,928,0,29,201.75348264707156,1.4300798065960407,2857.47037967667,6739.794181034483
1723219220,65,,Aggregated,78.400000,0.000000,27,79,130,150,530,980,2200,2700,2800,2900,2900,1057,0,27,189.6653474932369,1.4300798065960407,2857.47037967667,6478.187322611164
1723219221,70,,Aggregated,87.100000,0.000000,26,69,130,150,480,970,2200,2700,2800,2900,2900,1171,0,26,175.23595672792712,1.4300798065960407,2857.47037967667,6454.580700256191
1723219222,75,,Aggregated,95.900000,0.000000,28,77,130,150,510,990,1600,2700,2800,2900,2900,1315,33,28,184.90358340260025,1.4300798065960407,2857.47037967667,6215.951330798479
1723219223,80,,Aggregated,97.000000,0.000000,27,70,130,140,360,980,1600,2700,2800,2900,2900,1477,45,27,169.99352401684902,1.4300798065960407,2857.47037967667,6105.4583615436695
1723219224,85,,Aggregated,95.400000,1.700000,32,76,130,150,280,950,1500,2700,2800,2900,2900,1763,55,32,157.17289594841472,1.4300798065960407,2857.47037967667,6185.305161656268
1723219225,90,,Aggregated,103.400000,4.000000,37,81,130,150,270,880,1300,2200,2800,2900,2900,2019,56,37,150.61236735997946,1.4300798065960407,2857.47037967667,6321.105497771174
1723219226,95,,Aggregated,118.700000,5.000000,41,86,130,150,270,660,1300,2200,2800,2900,2900,2291,62,41,146.48347769204133,1.4300798065960407,2857.47037967667,6509.6538629419465
1723219227,100,,Aggregated,141.500000,5.500000,41,86,130,150,260,560,1100,1700,2800,2900,2900,2572,67,41,140.21364190003038,1.4300798065960407,2857.47037967667,6721.760886469673
1723219228,100,,Aggregated,154.000000,5.800000,39,81,130,150,240,540,1100,1600,2800,2900,2900,2726,76,39,134.10204702917204,1.4300798065960407,2857.47037967667,6789.997432134996
1723219229,100,,Aggregated,171.700000,6.200000,38,77,120,140,240,520,1100,1600,2800,2900,2900,2850,86,38,129.8264242091069,1.4300798065960407,2857.47037967667,6841.803859649122
1723219230,100,,Aggregated,185.000000,7.100000,36,74,120,140,220,490,1000,1600,2800,2900,2900,3054,98,36,124.4549072224381,1.4300798065960407,2857.47037967667,6913.608055009823
1723219231,100,,Aggregated,188.600000,7.700000,35,70,120,140,200,460,990,1600,2800,2900,2900,3313,113,35,118.51484232860172,1.4300798065960407,2857.47037967667,6890.62873528524
1723219232,100,,Aggregated,192.800000,8.900000,33,69,110,130,200,410,980,1500,2800,2900,2900,3522,120,33,113.77482634187929,1.4300798065960407,2857.47037967667,6920.363145939807
1723219233,100,,Aggregated,203.100000,10.600000,32,67,110,130,190,360,970,1400,2800,2900,2900,3800,139,32,108.62646191638257,1.4300798065960407,2857.47037967667,6932.954473684211
1723219234,100,,Aggregated,212.300000,10.000000,32,64,100,130,190,360,970,1300,2800,2900,2900,3957,149,32,105.5710104803442,1.4300798065960407,2857.47037967667,6967.343189284812
1723219235,100,,Aggregated,223.400000,8.700000,30,62,100,130,180,340,960,1300,2800,2900,2900,4158,162,30,102.0827828927755,1.4300798065960407,2857.47037967667,7012.458633958634
1723219236,100,,Aggregated,227.400000,9.400000,30,60,95,120,170,310,950,1300,2800,2900,2900,4422,174,30,98.82270289401342,1.4300798065960407,2857.47037967667,7162.638851198552
1723219237,100,,Aggregated,211.100000,9.900000,29,59,93,120,170,280,940,1200,2800,2900,2900,4673,180,29,95.5944101969105,1.4300798065960407,2857.47037967667,7263.471431628504
1723219238,100,,Aggregated,207.000000,11.000000,28,57,90,120,160,270,930,1200,2800,2900,2900,4911,189,28,92.62814521503194,1.4300798065960407,2857.47037967667,7347.253308898391
1723219239,100,,Aggregated,208.600000,11.400000,27,56,88,120,160,270,860,1100,2800,2900,2900,5052,201,27,91.0006503304297,1.4300798065960407,2857.47037967667,7427.837094220111
1723219240,100,,Aggregated,209.000000,11.100000,26,54,85,120,160,260,840,1100,2800,2900,2900,5235,211,26,88.96821580681356,1.4300798065960407,2857.47037967667,7429.4918815663805
1723219241,100,,Aggregated,216.800000,11.400000,26,54,84,120,160,240,760,1100,2800,2900,2900,5468,227,26,87.09560267728752,1.4300798065960407,2857.47037967667,7467.402889539137
1723219242,100,,Aggregated,215.700000,11.400000,26,52,81,120,160,240,670,1100,2800,2900,2900,5667,240,26,85.36271566905717,1.4300798065960407,2857.47037967667,7477.1718722428095
1723219243,100,,Aggregated,211.500000,10.800000,25,51,79,110,150,220,630,1000,2800,2900,2900,5942,250,25,83.14877136617345,1.4300798065960407,2857.47037967667,7628.328845506563
1723219244,100,,Aggregated,215.300000,11.300000,25,50,77,110,150,220,580,1000,2700,2900,2900,6165,260,25,81.48464913988322,1.4300798065960407,2857.47037967667,7667.739659367397
1723219245,100,,Aggregated,207.500000,11.400000,24,49,75,110,150,210,570,1000,2700,2900,2900,6333,268,24,80.20674234306736,1.4300798065960407,2857.47037967667,7749.146376125059
1723219246,100,,Aggregated,213.000000,10.700000,24,49,73,110,150,210,560,990,2700,2900,2900,6554,279,24,78.81620517581744,1.4300798065960407,2857.47037967667,7794.624046383888
1723219247,100,,Aggregated,216.000000,10.700000,24,48,71,110,150,200,550,980,2700,2900,2900,6782,297,24,77.38090579971161,1.4300798065960407,2857.47037967667,7838.270864051902
1723219248,100,,Aggregated,213.800000,10.100000,23,48,70,110,150,200,530,980,2700,2900,2900,7003,311,23,76.09896977414384,1.4300798065960407,2857.47037967667,7897.139940025703
1723219249,100,,Aggregated,208.600000,10.500000,23,47,69,110,150,200,510,980,2700,2900,2900,7222,318,23,74.85091893120514,1.4300798065960407,2857.47037967667,7964.432290224315
1723219250,100,,Aggregated,207.700000,11.800000,23,46,68,110,140,190,490,970,2700,2900,2900,7508,332,23,73.32853282228476,1.4300798065960407,2857.47037967667,8047.65663292488
1723219251,100,,Aggregated,206.800000,12.000000,22,45,68,110,140,190,490,970,2700,2900,2900,7695,341,22,72.31576306427102,1.4300798065960407,2857.47037967667,8092.71942820013
1723219253,100,,Aggregated,223.900000,12.000000,22,45,67,100,140,190,480,970,2700,2900,2900,7860,347,22,71.52297564091413,1.4300798065960407,2857.47037967667,8139.597709923664
1723219254,100,,Aggregated,217.900000,11.100000,22,44,66,100,140,190,480,970,2700,2900,2900,8091,358,22,70.55798134988788,1.4300798065960407,2857.47037967667,8233.504140402916
