Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin_user.html,1005,0,190.0,418.43067468723183,1.4434871263802052,2969.8662711307406,27664.0,3.247703705360137,0.0,190,430,560,700,1200,1600,2100,2400,2900,3000,3000
GET,/adminlogin.html,6326,3,1900.0,2356.0120726471378,1.5205247327685356,14840.21865669638,2283.916376857414,20.442759840903708,0.00969463792644817,1900,2300,2600,2700,4000,9100,13000,14000,15000,15000,15000
GET,/api/v1/adminorderservice/adminorder,6214,0,1600.0,1466.8118206923962,11.855748947709799,2997.90865695104,1671.0,20.080826691649644,0.0,1600,2100,2300,2400,2500,2700,2800,2900,3000,3000,3000
GET,/api/v1/adminuserservice/users,7191,0,1300.0,1349.1325998477282,10.937747079879045,3263.3566609583795,127885.22403003754,23.238047109696264,0.0,1300,2000,2300,2400,2600,2700,2800,2900,3200,3300,3300
POST,/api/v1/adminuserservice/users,1005,0,390.0,569.0641153474056,39.75174203515053,2887.0581770315766,209.3681592039801,3.247703705360137,0.0,390,560,700,880,1300,1700,2400,2600,2900,2900,2900
GET,/api/v1/assuranceservice/assurances/types,5534,9,1700.0,1538.6831455099634,6.331352051347494,4305.582761764526,107.82435851102277,17.88337542832139,0.02908391377934451,1700,2200,2300,2400,2600,2700,2900,3700,4100,4300,4300
POST,/api/v1/contactservice/contacts,1003,0,350.0,512.4841649693475,5.327931139618158,3385.5809988453984,219.51944167497507,3.2412406134091714,0.0,350,500,710,890,1300,2000,2300,2600,2700,3400,3400
GET,/api/v1/contactservice/contacts/account/00a0ca8d-640a-4ded-a6d5-4af4c1f7fdc4,2,0,26,1102.4756720289588,25.918318890035152,2179.0330251678824,122.5,0.006463091950965447,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/contactservice/contacts/account/00a56d6c-1719-4b60-b627-dafc6bb2fa73,1,0,740.4680969193578,740.4680969193578,740.4680969193578,740.4680969193578,38.0,0.0032315459754827234,0.0,740,740,740,740,740,740,740,740,740,740,740
GET,/api/v1/contactservice/contacts/account/00b3b4d0-df9e-4c64-a584-148f88d0e283,2,0,1814.2378646880388,2226.6413513571024,1814.2378646880388,2639.044838026166,122.5,0.006463091950965447,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/contactservice/contacts/account/00dc5bd8-e74e-4684-97e8-6b0a102bda8a,7,0,1800.0,1562.823756065752,48.72580571100116,2593.994793947786,182.85714285714286,0.022620821828379063,0.0,1800,2200,2200,2200,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/contactservice/contacts/account/0109147a-71f7-4139-b7c4-247616db0e88,7,0,520.0,938.5071311012974,28.03946193307638,2232.2859298437834,182.85714285714286,0.022620821828379063,0.0,520,990,1900,1900,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/contactservice/contacts/account/011b6419-6258-4464-9542-294819fd0ab3,7,0,1300.0,1349.6359372511506,15.123079065233469,2686.2863269634545,182.85714285714286,0.022620821828379063,0.0,1300,2500,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/contactservice/contacts/account/0167e78f-530c-4723-ae17-94817909cf4c,8,0,2100.0,1876.1681819451042,636.8563743308187,2592.920769006014,185.875,0.025852367803861787,0.0,2200,2400,2400,2400,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/contactservice/contacts/account/016804fb-a2a3-453f-8839-90f55f913726,5,0,1200.0,1463.912206236273,48.57952939346433,2890.1169360615313,173.2,0.016157729877413617,0.0,1200,2400,2400,2900,2900,2900,2900,2900,2900,2900,2900
GET,/api/v1/contactservice/contacts/account/01a47015-1658-45c5-af31-e68a6762eb2f,6,0,2200.0,2283.642198657617,1865.6447962857783,2738.2395449094474,178.83333333333334,0.01938927585289634,0.0,2300,2300,2500,2500,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/contactservice/contacts/account/01ef7100-2fb5-42fc-9c66-ef7839a5756b,2,0,540.8344157040119,655.0700629595667,540.8344157040119,769.3057102151215,122.5,0.006463091950965447,0.0,770,770,770,770,770,770,770,770,770,770,770
GET,/api/v1/contactservice/contacts/account/01f9326d-a7f1-4606-92e1-231a239e3c3d,3,0,370.0,713.5456406200925,198.95094074308872,1569.0875528380275,150.66666666666666,0.00969463792644817,0.0,370,370,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/v1/contactservice/contacts/account/0295f06c-99ae-40b7-9a3e-e0300dd98935,9,0,1200.0,1557.9083938565518,175.29555782675743,3799.554544966668,188.22222222222223,0.02908391377934451,0.0,1200,2000,2100,2500,3800,3800,3800,3800,3800,3800,3800
GET,/api/v1/contactservice/contacts/account/02a008f6-159c-433a-b133-9d234535f365,5,0,1300.0,1107.6692692004144,17.763392068445683,1996.3712729513645,173.2,0.016157729877413617,0.0,1300,1700,1700,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/v1/contactservice/contacts/account/02a0a06c-6d5f-4bd2-86e0-09a38b9968c9,7,0,1500.0,1366.7290478146501,9.93735296651721,2942.267779726535,182.85714285714286,0.022620821828379063,0.0,1500,2200,2400,2400,2900,2900,2900,2900,2900,2900,2900
GET,/api/v1/contactservice/contacts/account/02c32251-86d4-46c7-b12e-e2110fdc2b31,4,0,420.0,752.4400036782026,151.97889087721705,1470.2580659650266,164.75,0.012926183901930894,0.0,970,970,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/v1/contactservice/contacts/account/02c97d2c-7377-4dcf-becb-e248d230c5dd,2,0,232.2911717928946,932.8132008668035,232.2911717928946,1633.3352299407125,122.5,0.006463091950965447,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/v1/contactservice/contacts/account/03216d25-1c02-4222-a96b-8f9323aa00ae,5,0,1300.0,1415.9813471138477,660.5862961150706,2624.2331308312714,173.2,0.016157729877413617,0.0,1300,1600,1600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/contactservice/contacts/account/034d4ee9-d314-4c08-90d0-d01f712786e6,2,0,1943.5648648068309,2255.201971391216,1943.5648648068309,2566.839077975601,122.5,0.006463091950965447,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/contactservice/contacts/account/0376fc2f-c5bf-4518-b517-163ed302d64a,7,0,1300.0,1289.9326625546175,22.329102735966444,2740.338104777038,182.85714285714286,0.022620821828379063,0.0,1300,1500,1600,1600,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/contactservice/contacts/account/03d246a7-b954-4d86-b335-43d3125aab2c,3,0,2300.0,2353.6183141792812,2237.0986118912697,2533.2592097111046,150.66666666666666,0.00969463792644817,0.0,2300,2300,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/api/v1/contactservice/contacts/account/03f31af7-600e-4009-9d93-11a1934f95af,3,0,1700.0,1357.27181378752,20.11956926435232,2378.8233431987464,150.66666666666666,0.00969463792644817,0.0,1700,1700,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/v1/contactservice/contacts/account/040521f6-4d07-4d97-96c0-959be19edad7,5,0,2400.0,2122.5237431004643,645.1938301324844,2727.6315321214497,173.2,0.016157729877413617,0.0,2400,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
