Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),5272
GET,/api/v1/contactservice/contacts/account/a48c0e64-60bf-4052-8eb1-0d835d1a6fbd,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/50357f29-4e10-4c23-bdd5-9b341e4e2c88,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/cc2803ab-4880-4ee9-a033-3abaa25de53e,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/28776794-33d4-4229-82ec-5908d19e30b7,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/61308e2e-a400-4211-b989-b87f8d6a1c04,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/contactservice/contacts/account/c8d7b652-70ee-417c-90d5-efbcefcdc608,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/c3cf29d6-612b-42ef-82c7-3ecefbc6b951,RemoteDisconnected('Remote end closed connection without response'),13
GET,/admin_user.html,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/e6e474f6-c16c-446e-aa4b-f1a5a4b6a8a6,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/contactservice/contacts/account/122010b2-a3b5-43fc-8760-f8cc8e8f22d6,RemoteDisconnected('Remote end closed connection without response'),17
GET,/api/v1/contactservice/contacts/account/be85c34a-cdd9-42d8-9aeb-4ba9f49182fc,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/7597b0c5-5187-4c2c-8a83-7e507512e26a,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/d3aa854d-d714-46a3-861a-a01d9d174e09,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/6f6af2c5-8a65-41de-805f-9097127b2012,RemoteDisconnected('Remote end closed connection without response'),10
GET,/api/v1/contactservice/contacts/account/192a2906-2726-451a-9589-3501c4c2aa34,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/3b15eb02-a89a-4b77-80f2-8cc45255ddcf,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/assuranceservice/assurances/types,RemoteDisconnected('Remote end closed connection without response'),4755
GET,/api/v1/contactservice/contacts/account/f39eaee7-0cc0-4972-a507-41aee04ee8ff,RemoteDisconnected('Remote end closed connection without response'),8
GET,/api/v1/contactservice/contacts/account/ce36c9b3-e3b9-4220-b9e4-c7308326c668,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/401ca6ca-b406-4e57-b2bd-57d980fa4cfa,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/f3b5711a-5e70-405c-8b06-cb3650c7cd7f,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/d34a86ba-8449-40c1-bd39-10eb27f0e2a5,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/55adf676-95ae-492d-89f7-b872bd406580,RemoteDisconnected('Remote end closed connection without response'),9
GET,/api/v1/contactservice/contacts/account/8e2cd918-e976-4ccc-817f-d2b8594bd944,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/contactservice/contacts/account/c79803f7-ce8a-4d5e-aca3-12aea02940e5,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/1f974d04-76bc-459b-87b1-30cbb02bc254,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/43df8410-a6c9-4f9f-aa7d-6061b6e7e6d8,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/40a2150d-0aca-43c6-a2c3-8f87e3b88125,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/86b40b5e-6019-4e0c-a4e8-7e87c2c19630,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,RemoteDisconnected('Remote end closed connection without response'),683
GET,/api/v1/contactservice/contacts/account/15206c7b-4732-4991-939e-e87c6b6d2ea2,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/9fbe9621-a808-4ff3-bf57-76600d831551,RemoteDisconnected('Remote end closed connection without response'),11
GET,/api/v1/contactservice/contacts/account/f3b5711a-5e70-405c-8b06-cb3650c7cd7f,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/5e89af82-f305-4503-a375-aea122fe501a,"ConnectionResetError(104, 'Connection reset by peer')",2
GET,/client_login.html,RemoteDisconnected('Remote end closed connection without response'),5321
GET,/api/v1/contactservice/contacts/account/7a5a4b24-e596-48d5-9036-b47d7729f626,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/48d0ba1f-7967-40f7-a05e-b7cfadc2d55b,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/v1/contactservice/contacts/account/eb8d0911-6d78-482b-af23-2de3b5d35659,RemoteDisconnected('Remote end closed connection without response'),13
GET,/api/v1/contactservice/contacts/account/d0244adb-35f0-496d-93a4-cf81fcebaae0,RemoteDisconnected('Remote end closed connection without response'),19
GET,/api/v1/contactservice/contacts/account/7b9a3f4b-411b-4e07-8988-30d50b65b2ed,RemoteDisconnected('Remote end closed connection without response'),10
GET,/api/v1/foodservice/foods/2024-08-08/Shang%20Hai/Su%20Zhou/D1345,RemoteDisconnected('Remote end closed connection without response'),4874
GET,/api/v1/contactservice/contacts/account/2c405a29-068b-42a5-855c-40ae692e5fad,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/69290239-c257-4d27-9e97-2688b808ea13,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/46c4bafd-7d4e-46f8-b3c9-71e76106e1f0,RemoteDisconnected('Remote end closed connection without response'),3
POST,/api/v1/preserveservice/preserve,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/preserveservice/preserve'),738
GET,/api/v1/contactservice/contacts/account/0d26b467-81f9-4b04-b11b-18e5cf0832e1,RemoteDisconnected('Remote end closed connection without response'),8
GET,/api/v1/contactservice/contacts/account/aad4287d-b282-4733-9307-a7148dbc25e9,RemoteDisconnected('Remote end closed connection without response'),8
GET,/api/v1/contactservice/contacts/account/3804db5d-87d0-4348-b205-bc19ca92925e,RemoteDisconnected('Remote end closed connection without response'),11
GET,/api/v1/contactservice/contacts/account/aacaa8bf-9e72-4438-afef-4a52007bc27e,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/ecb2d222-01aa-4f1a-9f23-85e394d940eb,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/adminorderservice/adminorder,"ConnectionResetError(104, 'Connection reset by peer')",13
GET,/api/v1/contactservice/contacts/account/707cfe59-717a-41f0-b83c-b2a34e7fbb38,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/527da286-2626-4543-9ae2-43b63a7b44fc,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/32fb3cdb-6f5b-4458-b296-8514ba12f535,RemoteDisconnected('Remote end closed connection without response'),13
GET,/api/v1/contactservice/contacts/account/4a9f4055-f14a-490b-af9b-a21fdc8b2d41,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/2e9d7877-a08c-43c2-a77f-526256e81291,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/472fb84e-e4f9-40fb-a21d-da302010baa3,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/77fe7569-2c22-4385-a8c3-a7d4aefb51ad,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/41957087-e1a0-4a9c-9d7f-4b960d93061f,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/contactservice/contacts/account/f7aa55ec-451f-4d43-a9e6-df813eb21193,RemoteDisconnected('Remote end closed connection without response'),9
GET,/api/v1/contactservice/contacts/account/4a586345-3294-49ea-8c47-a91dc47996fd,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/f757b88b-9982-4736-affd-d3830c6464ec,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/5f755f36-1815-4aba-99d9-2fbe6015715d,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/c1c63ad8-ed23-4b6c-82f0-c05b60f20be9,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/7014cd43-018e-4be0-b9f5-669b495b7db3,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/contactservice/contacts/account/3edf53dd-6fcf-45d7-874e-27946a5b1fe5,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/v1/contactservice/contacts/account/b75dc69d-e559-4ab2-81c0-cb91ee5305e6,RemoteDisconnected('Remote end closed connection without response'),7
GET,/api/v1/contactservice/contacts/account/f20a7f9a-3a39-4337-8cf5-281018e984a0,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/contactservice/contacts/account/19120e21-3083-4cf2-b49a-9483abe12c71,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/2232fc12-f8fc-413c-a990-6e9fafc274d6,RemoteDisconnected('Remote end closed connection without response'),9
GET,/api/v1/contactservice/contacts/account/1b7c91c9-bb85-4a32-aa05-6f83939d5458,RemoteDisconnected('Remote end closed connection without response'),13
GET,/api/v1/contactservice/contacts/account/aca9cf23-f883-4c18-832e-8daa50af21f8,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/contactservice/contacts/account/dd3b01af-59f5-44d5-8a61-68c062393f17,RemoteDisconnected('Remote end closed connection without response'),8
GET,/api/v1/contactservice/contacts/account/0de4d713-d02b-4145-afbc-fc749c6e905f,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/b26e3b49-89e4-4a9c-b8d1-0f5ca7f16afe,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/a2ada117-550c-497c-9161-4f755e86467e,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/c19d15d0-1bad-4419-9f7b-bded48f9ca2a,RemoteDisconnected('Remote end closed connection without response'),4
GET,/api/v1/contactservice/contacts/account/4f7a9b97-93d5-4759-ab43-678ddefebe96,RemoteDisconnected('Remote end closed connection without response'),6
GET,/api/v1/contactservice/contacts/account/8a5d4dc2-e356-4ca4-acc6-6eb262df49a2,RemoteDisconnected('Remote end closed connection without response'),2
GET,/api/v1/contactservice/contacts/account/4fb20bf8-e726-41c7-ba04-4890a6f6148c,RemoteDisconnected('Remote end closed connection without response'),13
GET,/api/v1/contactservice/contacts/account/65ee6a39-dced-4f66-8bbe-7d99a7afbab4,RemoteDisconnected('Remote end closed connection without response'),5
GET,/api/v1/contactservice/contacts/account/503c24a2-8605-4ce4-b9ca-8cb6d5fedb33,RemoteDisconnected('Remote end closed connection without response'),3
GET,/api/v1/contactservice/contacts/account/ee5501d6-ba09-4c34-935e-707f6d6b031c,RemoteDisconnected('Remote end closed connection without response'),9
GET,/api/v1/contactservice/contacts/account/53459d58-aa01-4fbd-b8d7-ee0ae9ec663b,RemoteDisconnected('Remote end closed connection without response'),4
